import time: self [us] | cumulative | imported package
import time:       540 |        540 |   _io
import time:        79 |         79 |   marshal
import time:       604 |        604 |   posix
import time:       723 |       1945 | _frozen_importlib_external
import time:       205 |        205 |   time
import time:       219 |        424 | zipimport
import time:       109 |        109 |     _codecs
import time:       618 |        727 |   codecs
import time:       918 |        918 |   encodings.aliases
import time:      1364 |       3008 | encodings
import time:       358 |        358 | encodings.utf_8
import time:       264 |        264 | _signal
import time:        52 |         52 |     _abc
import time:       197 |        248 |   abc
import time:       273 |        521 | io
import time:       101 |        101 |       _stat
import time:        99 |        200 |     stat
import time:      1513 |       1513 |     _collections_abc
import time:       120 |        120 |       genericpath
import time:       166 |        285 |     posixpath
import time:       743 |       2740 |   os
import time:       128 |        128 |   _sitebuiltins
import time:       426 |        426 |     apport_python_hook
import time:       217 |        643 |   sitecustomize
import time:       703 |       4211 | site
import time:       285 |        285 |   Inventory_Management_System
import time:       236 |        236 |           django.utils
import time:       168 |        168 |             _datetime
import time:       188 |        355 |           datetime
import time:       197 |        197 |               itertools
import time:       258 |        258 |               keyword
import time:        95 |         95 |                 _operator
import time:       459 |        553 |               operator
import time:       311 |        311 |               reprlib
import time:       117 |        117 |               _collections
import time:      1377 |       2811 |             collections
import time:       391 |        391 |             types
import time:       105 |        105 |             _functools
import time:       929 |       4234 |           functools
import time:        85 |         85 |             errno
import time:      1802 |       1802 |                 enum
import time:       436 |        436 |                   _sre
import time:       385 |        385 |                     re._constants
import time:       712 |       1096 |                   re._parser
import time:       231 |        231 |                   re._casefix
import time:       736 |       2498 |                 re._compiler
import time:       260 |        260 |                 copyreg
import time:       742 |       5300 |               re
import time:       157 |        157 |               _locale
import time:      1741 |       7197 |             locale
import time:      1535 |       1535 |             signal
import time:       330 |        330 |               _weakrefset
import time:      1195 |       1525 |             threading
import time:       514 |        514 |             warnings
import time:       775 |        775 |             contextlib
import time:       108 |        108 |             fcntl
import time:       102 |        102 |             msvcrt
import time:        44 |         44 |             _posixsubprocess
import time:        83 |         83 |             select
import time:      1807 |       1807 |               collections.abc
import time:       111 |        111 |               math
import time:       931 |       2848 |             selectors
import time:      1179 |      15990 |           subprocess
import time:       805 |        805 |                 weakref
import time:       378 |       1183 |               copy
import time:       512 |       1694 |             django.utils.functional
import time:       515 |       2209 |           django.utils.regex_helper
import time:       485 |      23506 |         django.utils.version
import time:       265 |      23770 |       django
import time:       239 |      24009 |     django.core
import time:       191 |        191 |       django.core.handlers
import time:       208 |        208 |         importlib
import time:       398 |        398 |               token
import time:        71 |         71 |               _tokenize
import time:      1254 |       1722 |             tokenize
import time:       238 |       1960 |           linecache
import time:      1372 |       1372 |           textwrap
import time:      1130 |       4461 |         traceback
import time:       297 |        297 |           fnmatch
