import time: self [us] | cumulative | imported package
import time:      1507 |       1507 |   _io
import time:       271 |        271 |   marshal
import time:      1853 |       1853 |   posix
import time:      2009 |       5639 | _frozen_importlib_external
import time:       630 |        630 |   time
import time:       658 |       1288 | zipimport
import time:       332 |        332 |     _codecs
import time:      1723 |       2055 |   codecs
import time:      2943 |       2943 |   encodings.aliases
import time:      3304 |       8301 | encodings
import time:      1233 |       1233 | encodings.utf_8
import time:       879 |        879 | _signal
import time:       207 |        207 |     _abc
import time:       754 |        961 |   abc
import time:       977 |       1937 | io
import time:       253 |        253 |       _stat
import time:       388 |        640 |     stat
import time:      5157 |       5157 |     _collections_abc
import time:       400 |        400 |       genericpath
import time:       560 |        960 |     posixpath
import time:      1895 |       8649 |   os
import time:       302 |        302 |   _sitebuiltins
import time:      1205 |       1205 |     apport_python_hook
import time:       587 |       1791 |   sitecustomize
import time:      2161 |      12902 | site
import time:       775 |        775 |   Inventory_Management_System
import time:       719 |        719 |           django.utils
import time:       692 |        692 |             _datetime
import time:       712 |       1404 |           datetime
import time:       650 |        650 |               itertools
import time:       762 |        762 |               keyword
import time:       528 |        528 |                 _operator
import time:      1516 |       2044 |               operator
import time:      1266 |       1266 |               reprlib
import time:       453 |        453 |               _collections
import time:      5517 |      10690 |             collections
import time:      1822 |       1822 |             types
import time:       385 |        385 |             _functools
import time:      3241 |      16136 |           functools
import time:       294 |        294 |             errno
import time:      5643 |       5643 |                 enum
import time:       680 |        680 |                   _sre
import time:      1279 |       1279 |                     re._constants
import time:      1751 |       3029 |                   re._parser
import time:       707 |        707 |                   re._casefix
import time:      1744 |       6159 |                 re._compiler
import time:       740 |        740 |                 copyreg
import time:      2426 |      14965 |               re
import time:       367 |        367 |               _locale
import time:      5467 |      20798 |             locale
import time:      2527 |       2527 |             signal
import time:      1027 |       1027 |               _weakrefset
import time:      3291 |       4318 |             threading
import time:      1399 |       1399 |             warnings
import time:      2942 |       2942 |             contextlib
import time:       343 |        343 |             fcntl
import time:       391 |        391 |             msvcrt
import time:       147 |        147 |             _posixsubprocess
import time:       272 |        272 |             select
import time:      4212 |       4212 |               collections.abc
import time:       354 |        354 |               math
import time:      2995 |       7559 |             selectors
import time:      3883 |      44866 |           subprocess
import time:      2357 |       2357 |                 weakref
import time:       982 |       3338 |               copy
import time:      1464 |       4802 |             django.utils.functional
import time:      1214 |       6016 |           django.utils.regex_helper
import time:      1484 |      70622 |         django.utils.version
import time:       718 |      71340 |       django
import time:       660 |      71999 |     django.core
import time:       486 |        486 |       django.core.handlers
import time:       909 |        909 |         importlib
import time:      1211 |       1211 |               token
import time:       242 |        242 |               _tokenize
import time:      3847 |       5299 |             tokenize
import time:       783 |       6081 |           linecache
import time:      6831 |       6831 |           textwrap
import time:      3291 |      16203 |         traceback
import time:       808 |        808 |           fnmatch
import time:       739 |        739 |             urllib
import time:      8073 |       8073 |             ipaddress
import time:      5729 |      14541 |           urllib.parse
import time:       590 |        590 |             _winapi
import time:       468 |        468 |             nt
import time:       309 |        309 |             nt
import time:       230 |        230 |             nt
import time:       212 |        212 |             nt
import time:       301 |        301 |             nt
import time:       409 |        409 |             nt
import time:       785 |       3300 |           ntpath
import time:      4540 |      23187 |         pathlib
import time:      2254 |       2254 |         django.conf.global_settings
import time:       859 |        859 |           django.utils.hashable
import time:      3059 |       3918 |         django.core.exceptions
import time:      4777 |       4777 |               _ast
import time:      5628 |      10405 |             ast
import time:       125 |        125 |                 _opcode
import time:      1352 |       1477 |               opcode
import time:      2554 |       4031 |             dis
import time:       174 |        174 |             importlib.machinery
import time:      8233 |      22840 |           inspect
import time:       438 |        438 |             asgiref
import time:       397 |        397 |                   concurrent
import time:       134 |        134 |                         _string
import time:      1662 |       1796 |                       string
import time:       113 |        113 |                       atexit
import time:      4280 |       6188 |                     logging
import time:      1442 |       7629 |                   concurrent.futures._base
import time:       579 |       8604 |                 concurrent.futures
import time:        84 |         84 |                   _heapq
import time:       559 |        643 |                 heapq
import time:       415 |        415 |                   _socket
import time:       193 |        193 |                   array
import time:      3555 |       4163 |                 socket
import time:      4114 |       4114 |                   _ssl
import time:       235 |        235 |                       _struct
import time:       573 |        807 |                     struct
import time:       209 |        209 |                     binascii
import time:       822 |       1837 |                   base64
import time:      9483 |      15433 |                 ssl
import time:       619 |        619 |                 asyncio.constants
import time:       328 |        328 |                 asyncio.coroutines
import time:       281 |        281 |                     _contextvars
import time:       279 |        560 |                   contextvars
import time:       406 |        406 |                   asyncio.format_helpers
import time:       299 |        299 |                     asyncio.base_futures
import time:       437 |        437 |                     asyncio.exceptions
